                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 0.7592,                0.55972,                0.86141,                 0.9764,                0.97301,                0.98492,                0.82001,                0.64166,                0.49721,                0.83862,               0.005644,               0.005644,               0.005644
                     24,                0.73763,                0.54975,                0.85654,                0.97668,                0.97614,                0.98496,                0.81952,                 0.6429,                0.49167,                0.84071,               0.005446,               0.005446,               0.005446
                     25,                0.72514,                 0.5405,                0.85393,                0.98128,                0.96612,                0.98199,                0.81034,                0.65845,                0.49547,                0.85188,               0.005248,               0.005248,               0.005248
                     26,                0.71054,                0.53641,                0.85166,                0.98389,                0.97724,                0.98787,                0.83906,                0.61333,                0.47794,                0.83008,                0.00505,                0.00505,                0.00505
                     27,                0.69615,                0.52695,                0.85096,                0.96755,                0.96553,                0.98096,                0.81574,                0.62931,                0.49675,                0.84759,               0.004852,               0.004852,               0.004852
                     28,                0.69527,                0.51973,                0.84662,                0.97745,                0.97239,                0.98638,                0.82156,                0.63214,                 0.4796,                0.83487,               0.004654,               0.004654,               0.004654
                     29,                 0.6771,                0.51255,                0.84724,                0.98484,                0.96774,                0.98572,                0.81285,                0.63547,                0.47589,                0.84341,               0.004456,               0.004456,               0.004456
                     30,                0.66649,                0.50912,                0.84376,                0.98082,                0.94827,                0.97509,                 0.8192,                0.59185,                0.47388,                0.82846,               0.004258,               0.004258,               0.004258
                     31,                0.66481,                0.50581,                0.84264,                0.98086,                0.97101,                0.98647,                0.83737,                0.58475,                0.45984,                0.82836,                0.00406,                0.00406,                0.00406
                     32,                0.65227,                0.49721,                0.84132,                0.97984,                0.96787,                0.98196,                0.82055,                0.60843,                 0.4688,                 0.8441,               0.003862,               0.003862,               0.003862
                     33,                0.64022,                0.48989,                0.83895,                0.98531,                 0.9676,                0.98478,                0.81183,                0.66762,                0.47442,                0.85525,               0.003664,               0.003664,               0.003664
                     34,                0.62627,                0.48335,                0.83704,                0.98801,                0.97704,                0.98742,                0.84835,                0.54996,                0.43678,                0.81756,               0.003466,               0.003466,               0.003466
                     35,                0.61589,                0.47845,                0.83445,                 0.9699,                0.97544,                0.98547,                0.83782,                0.57634,                0.44542,                0.82385,               0.003268,               0.003268,               0.003268
                     36,                0.61505,                0.47448,                0.83511,                0.98936,                0.97459,                0.98753,                0.84414,                0.57619,                 0.4353,                0.82775,                0.00307,                0.00307,                0.00307
                     37,                0.60663,                0.47131,                0.83248,                0.99104,                0.97435,                0.98811,                0.83759,                0.58502,                0.42942,                0.83507,               0.002872,               0.002872,               0.002872
                     38,                 0.5997,                0.46742,                0.83419,                0.98823,                 0.9779,                0.98859,                0.86136,                 0.5329,                0.41597,                0.81743,               0.002674,               0.002674,               0.002674
                     39,                0.58637,                0.45833,                0.82925,                0.98889,                0.97825,                0.98822,                 0.8444,                0.57303,                0.42429,                0.82939,               0.002476,               0.002476,               0.002476
                     40,                0.59079,                0.47438,                0.82873,                0.97751,                 0.9425,                0.97356,                0.80763,                  0.623,                0.47229,                0.82952,               0.002278,               0.002278,               0.002278
                     41,                0.54717,                 0.4473,                0.81997,                0.99157,                0.97396,                0.98843,                0.87316,                0.47926,                0.39921,                0.80806,                0.00208,                0.00208,                0.00208
                     42,                0.53521,                0.44102,                0.81678,                0.99196,                0.97474,                0.98915,                0.88215,                0.45849,                0.38943,                0.80524,               0.001882,               0.001882,               0.001882
                     43,                0.52012,                0.43144,                 0.8183,                0.97935,                0.94063,                0.98121,                0.85859,                0.50651,                0.42253,                0.80878,               0.001684,               0.001684,               0.001684
                     44,                0.51232,                0.42401,                0.81678,                0.96012,                0.93499,                0.97136,                0.83635,                0.54622,                0.44112,                0.81661,               0.001486,               0.001486,               0.001486
                     45,                0.50219,                 0.4206,                0.81483,                0.99237,                0.97613,                0.98931,                0.89002,                0.44271,                0.37702,                0.79883,               0.001288,               0.001288,               0.001288
                     46,                0.49608,                0.41825,                0.81427,                0.99021,                0.97869,                0.98937,                0.88753,                0.44167,                0.37663,                0.80044,                0.00109,                0.00109,                0.00109
                     47,                0.48813,                0.41436,                0.81344,                0.96085,                0.95862,                0.97654,                 0.8531,                0.49207,                0.42499,                0.81311,               0.000892,               0.000892,               0.000892
                     48,                0.48009,                0.40948,                0.81154,                0.98739,                0.96343,                0.98631,                0.88399,                0.44258,                0.38515,                0.79741,               0.000694,               0.000694,               0.000694
                     49,                0.47615,                0.40573,                0.81023,                0.96804,                0.96954,                0.98374,                0.86876,                0.48162,                0.40177,                0.80362,               0.000496,               0.000496,               0.000496
