                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9243,                 3.1873,                 1.3452,                 0.0617,                0.28638,                0.14533,                0.08846,                 1.2849,                 2.7398,                 1.0793,               0.070405,              0.0032883,              0.0032883
                      1,                 1.5776,                 1.7902,                 1.1185,                0.77797,                0.51178,                0.54928,                0.33391,                 1.3671,                 1.5903,                 1.0728,               0.040274,              0.0064905,              0.0064905
                      2,                  1.591,                 1.4579,                 1.1106,                0.70132,                 0.7879,                0.80195,                0.41064,                 1.6993,                 1.1447,                  1.118,               0.010011,              0.0095607,              0.0095607
                      3,                 1.5401,                 1.1565,                 1.0739,                0.79304,                0.82581,                0.86706,                0.46872,                 1.5449,                 1.0402,                 1.0043,               0.009406,               0.009406,               0.009406
                      4,                  1.371,                 1.0371,                 1.0216,                0.85253,                0.81372,                0.87625,                0.57942,                 1.1174,                0.92136,                0.97461,               0.009406,               0.009406,               0.009406
                      5,                 1.2611,                0.92631,                0.98879,                0.89682,                 0.9216,                0.94209,                0.67086,                 1.0684,                0.84784,                0.93748,               0.009208,               0.009208,               0.009208
                      6,                 1.1724,                0.86305,                0.96548,                0.91963,                0.91272,                0.94948,                0.67989,                 1.0127,                 0.8068,                 0.9378,                0.00901,                0.00901,                0.00901
                      7,                 1.1249,                0.82638,                0.95043,                0.93763,                0.92589,                0.95781,                0.69371,                  1.004,                0.72682,                 0.9047,               0.008812,               0.008812,               0.008812
                      8,                 1.0707,                0.77736,                0.93611,                0.84836,                0.84723,                0.89794,                0.56325,                 1.2772,                0.91756,                0.95804,               0.008614,               0.008614,               0.008614
                      9,                 1.0359,                0.75478,                0.92409,                0.95461,                0.90864,                0.95742,                0.68841,                0.96676,                0.69551,                0.89805,               0.008416,               0.008416,               0.008416
                     10,                0.99207,                0.72256,                0.91336,                0.97458,                0.93817,                 0.9701,                0.74889,                0.84723,                0.65617,                0.87944,               0.008218,               0.008218,               0.008218
                     11,                0.95344,                0.69332,                0.90822,                0.96173,                0.95436,                0.97181,                0.78088,                0.76069,                0.62937,                0.88016,                0.00802,                0.00802,                0.00802
                     12,                0.93468,                0.67928,                0.89882,                0.97043,                0.94772,                0.97197,                0.72134,                0.95894,                0.67125,                0.90697,               0.007822,               0.007822,               0.007822
                     13,                0.90597,                0.66515,                0.89639,                0.95602,                0.97078,                0.97935,                 0.7475,                0.83682,                0.60287,                0.87947,               0.007624,               0.007624,               0.007624
                     14,                0.90548,                0.65763,                0.89149,                0.96992,                0.95987,                0.98079,                0.80371,                0.71056,                0.58643,                0.85802,               0.007426,               0.007426,               0.007426
                     15,                0.86636,                0.63469,                0.88576,                0.96873,                 0.9633,                0.97794,                0.77907,                0.79207,                0.58002,                0.88034,               0.007228,               0.007228,               0.007228
                     16,                0.84162,                0.62108,                0.87982,                0.97735,                0.96504,                0.98185,                0.80037,                0.71597,                0.55736,                0.85483,                0.00703,                0.00703,                0.00703
                     17,                0.83399,                0.60899,                0.87634,                0.97573,                0.97198,                0.98265,                0.79901,                 0.7292,                0.55535,                0.85286,               0.006832,               0.006832,               0.006832
                     18,                0.82291,                0.60252,                0.87403,                0.98107,                0.97412,                0.98511,                0.79577,                 0.7128,                0.53452,                0.84991,               0.006634,               0.006634,               0.006634
                     19,                0.79547,                0.58439,                0.86902,                 0.9681,                0.95904,                0.97753,                 0.7718,                0.76855,                0.56798,                0.86299,               0.006436,               0.006436,               0.006436
                     20,                0.78756,                0.58184,                0.86736,                0.96362,                0.94815,                0.96435,                0.79337,                  0.705,                0.54182,                0.87629,               0.006238,               0.006238,               0.006238
                     21,                0.76531,                0.57126,                 0.8656,                0.96659,                0.96534,                0.97892,                0.79479,                0.69072,                0.53174,                0.85057,                0.00604,                0.00604,                0.00604
                     22,                0.75202,                0.56055,                0.86248,                0.98483,                  0.968,                0.98496,                0.82301,                0.62754,                0.48721,                0.83761,               0.005842,               0.005842,               0.005842
